2024-11-08 00:28:19,954 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Configure stats pid to 42728
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Loading settings from C:\Users\giaco\.config\wandb\settings
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Loading settings from C:\Users\giaco\Documents\QPNN\QPNN\wandb\settings
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'entity': 'quantum_kets', 'project': 'QPNN_TRAIN_SWEEP_iris', 'root_dir': 'C:\\Users\\giaco\\Documents\\QPNN\\QPNN', 'run_id': 'd6ucuv2v', 'sweep_param_path': 'C:\\Users\\giaco\\Documents\\QPNN\\QPNN\\wandb\\sweep-bdae2g06\\config-d6ucuv2v.yaml', 'sweep_id': 'bdae2g06'}
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-08 00:28:19,955 INFO    Thread-15 (_run_job):42728 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\giaco\Documents\QPNN\QPNN\wandb\run-20241108_002819-d6ucuv2v\logs\debug.log
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\giaco\Documents\QPNN\QPNN\wandb\run-20241108_002819-d6ucuv2v\logs\debug-internal.log
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:_jupyter_setup():479] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000127FE3DAE30>
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():619] calling init triggers
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():626] wandb.init called with sweep_config: {'arch_elements': 4, 'epochs': 300, 'learning_rate': 0.021096305788206027, 'optimizer': 'RMSPROP'}
config: {}
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():669] starting backend
2024-11-08 00:28:19,956 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():673] sending inform_init request
2024-11-08 00:28:19,963 INFO    Thread-15 (_run_job):42728 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-08 00:28:19,965 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():686] backend started and connected
2024-11-08 00:28:19,982 INFO    Thread-15 (_run_job):42728 [wandb_run.py:_config_callback():1389] config_cb None None {'arch_elements': 4, 'epochs': 300, 'learning_rate': 0.021096305788206027, 'optimizer': 'RMSPROP'}
2024-11-08 00:28:19,983 INFO    Thread-15 (_run_job):42728 [wandb_run.py:_label_probe_notebook():1341] probe notebook
2024-11-08 00:28:19,983 INFO    Thread-15 (_run_job):42728 [wandb_run.py:_label_probe_notebook():1351] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-11-08 00:28:19,983 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():781] updated telemetry
2024-11-08 00:28:20,032 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-08 00:28:20,673 INFO    Thread-15 (_run_job):42728 [wandb_init.py:init():867] starting run threads in backend
